file;Date;team;DomExt;period;time;athletenum;athletename;action;score;team_adv;position_tir;nb_def_reb;nb_att_reb;nb_att_0;nb_att_1;nb_att_2;nb_att_3;nb_att_4;nb_att_5;nb_att_6;nb_att_tot;score off;trans;score trans;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q4;05:29;88;Chad Timberlake;defensive rebound;55;Iberostar Tenerife;2;3;2;;2;1;;2;;;5;;o;0;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;05:18;33;Javier Beiran;defensive rebound;75;Fribourg Olympic;3;3;2;0;2;;1;;;2;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;04:42;21;Tim Abromaitis;defensive rebound;78;Fribourg Olympic;1;2;1;;1;2;;;;2;5;;o;0;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;04:37;21;Tim Abromaitis;offensive rebound;78;Fribourg Olympic;3;2;1;;2;;1;;1;1;5;0;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q4;04:30;6;Paul Gravet;defensive rebound;55;Iberostar Tenerife;3;3;3;;2;1;1;;;1;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q4;03:28;50;Andre Williamson;offensive rebound;58;Iberostar Tenerife;3;2;1;;1;1;1;;;2;5;2;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;01:48;7;Mamadou Niang;defensive rebound;87;Fribourg Olympic;6;4;2;;2;;;;1;2;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;01:36;31;Pierre-Antoine Gillet;offensive rebound;87;Fribourg Olympic;3;3;2;;2;1;;;1;1;5;2;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;00:12;7;Mamadou Niang;defensive rebound;91;Fribourg Olympic;6;4;1;;1;1;;;1;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;09:37;5;Owen Klassen;defensive rebound;0;Le Mans;4;2;2;;1;1;;;2;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q1;09:21;19;Adam Waleskowski;offensive rebound;0;MHP Riesen Ludwigsburg;1;3;3;;3;;;1;1;;5;0;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;09:02;21;Malcolm Hill;defensive rebound;0;Le Mans;3;2;1;;2;1;1;1;;;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q1;08:26;7;Richard Hendrix;defensive rebound;0;MHP Riesen Ludwigsburg;5;4;3;;2;1;;;;2;5;;o;0;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;08:16;19;Adam Waleskowski;defensive rebound;2;Le Mans;1;3;1;;1;1;;;1;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;07:35;19;Adam Waleskowski;defensive rebound;2;Le Mans;1;3;1;;1;;;1;2;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q1;06:58;23;Cameron Clark;defensive rebound;2;MHP Riesen Ludwigsburg;1;3;1;1;1;1;1;;;1;5;;o;0;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;06:51;4;David McCray;defensive rebound;4;Le Mans;5;3;1;;1;;;;3;1;5;;o;2;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;06:26;30;Kelan Martin;defensive rebound;6;Le Mans;1;2;1;;2;1;1;;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;05:10;30;Kelan Martin;offensive rebound;9;Le Mans;3;4;2;;2;2;;;1;;5;2;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;04:13;20;Lamont Jones;defensive rebound;11;Le Mans;1;2;1;;2;1;1;;;1;5;;n;;;;;;
